"Dist Code","Year","State Code","State Name","Dist Name","JANUARY PERCIPITATION (Millimeters)","FEBRUARY PERCIPITATION (Millimeters)","MARCH PERCIPITATION (Millimeters)","APRIL PERCIPITATION (Millimeters)","MAY PERCIPITATION (Millimeters)","JUNE PERCIPITATION (Millimeters)","JULY PERCIPITATION (Millimeters)","AUGUST PERCIPITATION (Millimeters)","SEPTEMBER PERCIPITATION (Millimeters)","OCTOBER PERCIPITATION (Millimeters)","NOVEMBER PERCIPITATION (Millimeters)","DECEMBER PERCIPITATION (Millimeters)"
"165","2000","9","Punjab","Gurdaspur","134.56","48.04","15.98","8.33","27.39","89.68","483.42","230.9","130.2","0.78","8.18","3.96"
"165","2001","9","Punjab","Gurdaspur","24.56","13.22","39.84","17.92","45.47","117.98","543.7","156.96","145.66","13.99","5.43","22.23"
"165","2002","9","Punjab","Gurdaspur","31.64","33.22","36.0","19.46","24.09","92.92","139.85","358.49","293.68","17.77","0.97","24.7"
"165","2003","9","Punjab","Gurdaspur","43.59","190.27","77.08","21.89","18.18","86.7","431.77","276.12","195.88","25.16","33.2","44.27"
"165","2004","9","Punjab","Gurdaspur","162.5","33.21","4.03","29.26","55.26","79.01","245.96","322.95","35.1","62.52","14.22","37.89"
"165","2005","9","Punjab","Gurdaspur","220.85","104.47","79.24","24.07","12.32","46.37","409.26","209.07","206.12","27.34","6.93","1.26"
"165","2006","9","Punjab","Gurdaspur","121.39","28.54","63.15","10.53","20.07","88.28","618.67","525.3","464.27","128.36","28.63","78.13"
"165","2007","9","Punjab","Gurdaspur","3.92","146.73","135.44","5.46","25.04","122.91","238.14","243.11","170.3","0.0","19.23","9.06"
"165","2008","9","Punjab","Gurdaspur","118.95","26.35","4.06","70.34","32.51","146.6","268.13","610.31","165.14","58.7","6.85","48.6"
"165","2009","9","Punjab","Gurdaspur","121.56","74.97","52.76","31.64","14.17","37.18","171.35","230.72","113.8","9.62","22.05","9.77"
"165","2010","9","Punjab","Gurdaspur","27.18","36.4","23.7","11.09","26.69","37.18","483.92","473.58","210.44","20.78","1.85","39.19"
"165","2011","9","Punjab","Gurdaspur","29.96","83.34","30.78","33.16","10.54","111.04","344.45","424.54","416.57","20.12","8.77","33.29"
"165","2012","9","Punjab","Gurdaspur","134.57","23.04","25.28","58.38","5.74","15.53","151.09","315.78","538.02","47.68","3.29","57.4"
"165","2013","9","Punjab","Gurdaspur","65.38","118.18","42.74","51.59","7.84","137.88","396.74","396.05","117.49","32.24","30.67","13.41"
"165","2014","9","Punjab","Gurdaspur","71.77","33.9","117.42","72.96","32.23","50.59","222.27","219.21","753.11","44.45","21.32","1.22"
"165","2015","9","Punjab","Gurdaspur","90.99","68.16","210.66","46.66","24.14","92.8","531.68","317.5","323.95","47.21","7.11","12.37"
"166","2000","9","Punjab","Amritsar","43.15","19.13","5.13","2.96","15.57","58.55","239.35","91.29","46.06","0.07","3.42","0.6"
"166","2001","9","Punjab","Amritsar","6.04","3.57","18.53","9.44","34.37","91.4","301.71","49.16","55.63","4.29","0.67","8.25"
"166","2002","9","Punjab","Amritsar","6.88","6.97","13.64","5.06","20.14","53.6","68.88","133.81","120.81","8.81","0.68","11.25"
"166","2003","9","Punjab","Amritsar","12.61","84.48","34.26","7.09","7.58","67.87","215.46","136.53","61.0","9.86","18.51","14.2"
"166","2004","9","Punjab","Amritsar","54.73","13.87","0.71","12.41","42.06","53.65","119.11","150.66","18.92","22.7","7.05","13.18"
"166","2005","9","Punjab","Amritsar","76.21","49.18","42.54","11.38","6.19","36.72","198.58","110.63","96.29","9.73","2.19","0.01"
"166","2006","9","Punjab","Amritsar","25.36","8.59","37.53","2.84","14.7","69.39","304.56","175.34","196.59","60.31","13.11","29.86"
"166","2007","9","Punjab","Amritsar","0.99","77.41","64.69","0.68","15.7","96.67","101.17","109.94","83.64","0.0","11.46","3.63"
"166","2008","9","Punjab","Amritsar","34.47","10.22","0.84","41.82","23.09","113.08","142.33","329.01","60.38","23.11","1.14","14.34"
"166","2009","9","Punjab","Amritsar","37.35","29.96","30.51","17.25","7.5","18.37","97.36","117.02","36.93","5.62","10.87","1.31"
"166","2010","9","Punjab","Amritsar","4.62","10.89","9.42","2.82","12.29","17.02","239.18","168.02","100.18","6.95","0.8","15.32"
"166","2011","9","Punjab","Amritsar","2.79","34.21","10.6","18.34","6.35","86.33","183.99","219.18","189.62","5.92","4.12","12.69"
"166","2012","9","Punjab","Amritsar","43.69","7.28","6.53","35.84","2.64","7.91","83.21","154.18","230.65","23.99","1.06","22.66"
"166","2013","9","Punjab","Amritsar","16.11","50.56","24.24","28.16","3.49","112.34","190.19","173.49","37.11","16.3","16.61","4.97"
"166","2014","9","Punjab","Amritsar","17.28","15.14","53.08","42.99","23.54","40.86","93.36","86.74","316.59","13.56","12.98","0.35"
"166","2015","9","Punjab","Amritsar","32.6","22.32","101.74","20.15","18.51","59.74","237.27","145.53","131.67","18.57","2.49","3.0"
"167","2000","9","Punjab","Kapurthala","45.47","18.25","7.61","1.61","12.2","41.58","279.87","88.64","65.67","0.7","3.69","0.46"
"167","2001","9","Punjab","Kapurthala","7.44","3.89","17.04","6.79","28.72","60.98","334.63","50.72","78.79","7.69","0.41","8.03"
"167","2002","9","Punjab","Kapurthala","8.02","6.46","13.21","2.79","16.02","34.71","75.43","128.88","191.33","14.82","0.92","13.65"
"167","2003","9","Punjab","Kapurthala","16.82","60.27","31.18","3.4","5.64","47.56","264.55","128.96","93.22","20.93","16.98","15.86"
"167","2004","9","Punjab","Kapurthala","53.38","9.2","0.44","6.47","32.06","37.46","126.79","147.94","23.82","45.0","6.08","12.68"
"167","2005","9","Punjab","Kapurthala","75.32","37.9","42.66","5.71","4.23","26.54","225.32","104.44","155.41","15.24","1.84","0.05"
"167","2006","9","Punjab","Kapurthala","24.77","5.94","38.87","1.2","12.47","47.99","337.94","161.59","299.46","107.14","11.97","27.21"
"167","2007","9","Punjab","Kapurthala","1.12","56.61","66.54","1.08","13.92","65.05","106.55","113.28","129.59","0.08","10.38","3.85"
"167","2008","9","Punjab","Kapurthala","32.83","7.24","0.93","21.82","18.05","75.42","157.34","317.88","94.15","38.95","1.24","13.36"
"167","2009","9","Punjab","Kapurthala","36.38","21.23","28.95","8.03","7.85","11.07","117.37","112.77","66.7","11.0","10.74","1.54"
"167","2010","9","Punjab","Kapurthala","5.49","9.85","7.97","1.37","8.65","9.81","265.11","172.12","172.69","13.31","3.04","16.2"
"167","2011","9","Punjab","Kapurthala","3.11","27.15","10.11","9.32","5.78","59.57","210.47","209.12","290.46","8.85","3.8","12.21"
"167","2012","9","Punjab","Kapurthala","43.46","4.94","6.37","18.29","1.75","5.16","91.89","163.01","359.3","41.57","0.98","23.03"
"167","2013","9","Punjab","Kapurthala","19.74","38.11","23.31","14.25","2.39","76.19","225.8","170.25","55.8","34.76","14.62","5.37"
"167","2014","9","Punjab","Kapurthala","18.72","14.31","49.94","20.97","18.96","28.35","107.73","84.42","459.94","22.71","11.34","1.38"
"167","2015","9","Punjab","Kapurthala","34.38","15.29","100.56","10.65","13.65","42.09","278.37","144.0","190.23","32.57","2.01","2.35"
"168","2000","9","Punjab","Jalandhar","42.03","20.84","8.81","1.48","12.7","46.83","259.57","90.86","60.85","0.8","3.88","0.38"
"168","2001","9","Punjab","Jalandhar","7.2","4.56","16.15","7.09","30.65","66.89","302.58","53.07","72.84","7.03","0.37","7.8"
"168","2002","9","Punjab","Jalandhar","8.31","7.42","13.0","2.64","16.37","37.28","68.71","126.91","185.71","12.38","0.93","14.52"
"168","2003","9","Punjab","Jalandhar","17.39","61.71","29.55","3.03","5.77","53.16","255.42","127.04","89.3","19.77","16.57","16.74"
"168","2004","9","Punjab","Jalandhar","47.74","9.07","0.36","5.98","32.66","41.5","113.22","147.78","20.42","42.55","5.76","12.23"
"168","2005","9","Punjab","Jalandhar","66.95","39.89","42.08","5.13","4.21","29.62","207.04","102.47","150.94","13.14","1.72","0.07"
"168","2006","9","Punjab","Jalandhar","22.35","5.92","38.57","1.06","13.49","53.31","312.28","156.18","282.93","92.06","11.61","26.19"
"168","2007","9","Punjab","Jalandhar","1.0","58.14","66.97","1.5","15.4","71.14","96.56","115.34","124.11","0.17","10.0","3.85"
"168","2008","9","Punjab","Jalandhar","29.07","7.19","0.92","20.12","18.56","82.43","144.59","312.1","90.92","33.1","1.29","13.15"
"168","2009","9","Punjab","Jalandhar","32.35","21.41","27.64","7.15","9.38","11.87","110.97","112.27","69.52","10.93","10.95","1.65"
"168","2010","9","Punjab","Jalandhar","5.14","11.14","7.24","1.22","8.66","9.96","241.14","173.99","172.53","11.84","4.06","16.42"
"168","2011","9","Punjab","Jalandhar","3.03","29.09","9.77","8.54","6.47","66.1","195.5","207.72","274.8","7.12","3.7","11.8"
"168","2012","9","Punjab","Jalandhar","39.28","4.89","6.51","16.63","1.81","5.56","85.89","168.58","341.22","35.72","1.04","23.22"
"168","2013","9","Punjab","Jalandhar","19.54","40.19","22.49","13.0","2.41","83.77","215.2","170.58","54.26","32.01","13.93","5.58"
"168","2014","9","Punjab","Jalandhar","17.37","16.46","48.37","18.63","20.02","31.35","99.9","84.33","424.36","20.96","10.77","1.92"
"168","2015","9","Punjab","Jalandhar","31.81","15.27","99.15","10.29","13.72","46.59","259.64","142.49","176.51","27.82","1.95","2.22"
"169","2000","9","Punjab","Hoshiarpur","70.63","36.45","12.3","3.77","17.14","77.7","383.61","148.35","81.78","0.47","6.53","0.92"
"169","2001","9","Punjab","Hoshiarpur","15.0","8.75","23.46","11.28","31.34","102.44","423.71","89.09","97.4","8.32","1.16","12.69"
"169","2002","9","Punjab","Hoshiarpur","15.61","17.44","21.03","8.04","15.7","69.56","99.12","235.03","237.3","13.81","0.75","17.6"
"169","2003","9","Punjab","Hoshiarpur","27.33","106.53","43.75","8.61","7.16","81.26","338.0","196.09","116.85","20.45","23.65","27.18"
"169","2004","9","Punjab","Hoshiarpur","80.45","16.36","1.05","10.8","33.99","70.47","167.82","219.61","20.75","48.55","8.83","21.75"
"169","2005","9","Punjab","Hoshiarpur","111.82","62.88","55.17","10.27","5.24","46.52","291.99","154.84","183.82","17.29","3.3","0.4"
"169","2006","9","Punjab","Hoshiarpur","48.73","12.43","47.94","3.08","13.86","79.31","462.24","295.15","358.38","104.01","17.74","41.63"
"169","2007","9","Punjab","Hoshiarpur","1.75","92.96","91.03","3.76","17.28","107.34","144.4","176.47","139.3","0.16","13.98","5.7"
"169","2008","9","Punjab","Hoshiarpur","55.97","12.77","2.41","35.34","19.29","130.8","204.85","465.0","125.64","40.02","2.79","21.21"
"169","2009","9","Punjab","Hoshiarpur","57.1","38.93","35.71","13.56","10.1","21.03","138.43","168.8","94.36","10.63","15.93","2.97"
"169","2010","9","Punjab","Hoshiarpur","14.87","20.51","10.64","3.2","11.04","16.86","341.39","288.85","189.88","14.04","4.23","24.41"
"169","2011","9","Punjab","Hoshiarpur","9.03","49.69","14.94","15.83","7.07","104.38","267.23","309.93","324.73","9.8","5.73","19.93"
"169","2012","9","Punjab","Hoshiarpur","70.36","10.23","11.54","29.63","2.09","9.68","118.47","245.18","416.81","37.58","1.73","32.93"
"169","2013","9","Punjab","Hoshiarpur","36.6","71.24","28.17","24.26","3.24","127.77","295.06","267.45","79.23","31.83","20.22","8.67"
"169","2014","9","Punjab","Hoshiarpur","34.37","26.22","69.62","33.59","19.89","46.71","157.84","136.75","549.52","27.99","14.57","2.39"
"169","2015","9","Punjab","Hoshiarpur","53.41","32.18","136.22","19.87","13.62","79.73","382.03","227.67","228.51","30.82","3.43","4.8"
"170","2000","9","Punjab","Roopnagar","71.66","56.66","19.39","3.07","22.86","77.45","449.01","149.98","75.58","0.96","8.19","0.42"
"170","2001","9","Punjab","Roopnagar","23.5","14.31","19.71","12.48","39.87","92.01","422.63","88.09","87.98","8.98","0.48","8.53"
"170","2002","9","Punjab","Roopnagar","23.54","28.3","20.98","6.88","15.28","60.17","97.64","222.56","262.46","14.28","1.1","16.75"
"170","2003","9","Punjab","Roopnagar","42.91","110.16","35.47","6.25","6.42","75.43","419.65","176.01","111.52","29.2","20.49","27.79"
"170","2004","9","Punjab","Roopnagar","71.27","14.93","0.37","5.82","34.22","70.36","151.41","193.06","18.28","74.18","6.22","16.9"
"170","2005","9","Punjab","Roopnagar","95.3","73.39","53.6","6.25","4.38","45.33","305.42","142.58","225.0","18.06","2.28","0.31"
"170","2006","9","Punjab","Roopnagar","45.73","10.28","47.47","1.5","19.62","71.15","502.62","232.88","349.14","108.0","14.45","28.7"
"170","2007","9","Punjab","Roopnagar","2.1","99.59","95.92","5.66","25.95","89.27","145.53","176.4","132.31","0.87","10.94","4.41"
"170","2008","9","Punjab","Roopnagar","50.74","10.54","3.1","23.99","20.24","113.6","225.65","415.55","142.8","38.27","2.19","13.24"
"170","2009","9","Punjab","Roopnagar","47.16","36.15","29.77","8.14","18.11","14.94","156.96","158.0","147.19","26.91","16.07","2.31"
"170","2010","9","Punjab","Roopnagar","22.41","30.49","5.92","1.49","9.33","10.65","357.47","267.17","232.12","15.69","9.59","20.32"
"170","2011","9","Punjab","Roopnagar","8.95","62.1","12.36","10.42","10.72","101.41","294.41","299.21","313.75","7.41","4.74","14.24"
"170","2012","9","Punjab","Roopnagar","68.51","9.27","12.8","19.77","1.9","7.48","139.66","274.15","423.76","37.93","1.9","25.61"
"170","2013","9","Punjab","Roopnagar","51.85","87.61","26.29","15.21","3.0","116.78","342.47","250.69","91.16","52.31","14.77","8.75"
"170","2014","9","Punjab","Roopnagar","37.49","44.76","63.11","19.27","23.39","42.27","179.88","121.18","467.37","39.27","10.9","5.69"
"170","2015","9","Punjab","Roopnagar","62.11","31.64","131.11","15.93","12.22","76.17","416.16","223.23","194.9","26.93","2.76","3.2"
"171","2000","9","Punjab","Ludhiana","37.32","29.08","11.52","1.53","13.29","53.29","271.77","95.83","55.51","1.09","3.69","0.22"
"171","2001","9","Punjab","Ludhiana","8.52","6.87","13.99","9.25","32.32","73.97","283.79","59.98","67.89","6.37","0.22","6.58"
"171","2002","9","Punjab","Ludhiana","9.89","11.25","12.25","2.99","15.43","39.77","63.97","126.78","187.38","9.42","0.99","15.95"
"171","2003","9","Punjab","Ludhiana","20.6","65.89","24.85","2.94","5.38","60.26","289.45","123.95","87.45","19.9","12.94","18.36"
"171","2004","9","Punjab","Ludhiana","39.38","9.2","0.24","5.93","30.18","47.7","101.43","147.73","17.58","44.07","3.99","10.89"
"171","2005","9","Punjab","Ludhiana","53.03","47.2","39.71","4.62","3.65","33.93","206.31","100.03","161.06","10.27","1.23","0.06"
"171","2006","9","Punjab","Ludhiana","18.54","5.71","36.53","0.94","15.23","59.7","314.08","143.43","268.99","71.45","8.85","22.8"
"171","2007","9","Punjab","Ludhiana","0.97","64.03","67.03","2.21","18.11","77.31","97.17","121.13","119.41","0.36","7.28","3.63"
"171","2008","9","Punjab","Ludhiana","23.64","6.92","1.14","19.78","17.85","88.3","144.91","300.95","95.44","24.89","1.11","12.3"
"171","2009","9","Punjab","Ludhiana","25.43","21.82","23.96","6.29","12.35","12.3","118.02","113.23","87.24","12.64","9.24","1.97"
"171","2010","9","Punjab","Ludhiana","6.29","15.51","5.2","0.98","7.53","10.38","238.24","182.97","188.67","10.27","5.96","15.98"
"171","2011","9","Punjab","Ludhiana","2.92","35.67","9.02","7.93","7.68","74.5","198.07","209.11","267.76","4.98","2.82","10.01"
"171","2012","9","Punjab","Ludhiana","33.22","4.85","6.77","15.56","1.83","5.69","88.57","189.15","338.88","27.87","0.95","22.28"
"171","2013","9","Punjab","Ludhiana","21.55","46.82","20.6","11.82","2.14","91.65","231.48","174.43","56.43","33.25","9.9","5.9"
"171","2014","9","Punjab","Ludhiana","15.95","23.59","44.06","16.66","21.03","35.02","103.06","85.41","379.38","20.05","7.73","3.57"
"171","2015","9","Punjab","Ludhiana","29.55","14.99","93.91","11.36","12.52","52.17","265.34","144.98","155.87","20.99","1.5","1.94"
"172","2000","9","Punjab","Ferozpur","31.66","12.66","4.22","1.3","8.29","33.46","208.02","61.74","54.73","0.62","2.83","0.42"
"172","2001","9","Punjab","Ferozpur","5.59","2.6","12.38","6.32","22.27","55.68","241.01","35.05","63.61","4.17","0.12","6.99"
"172","2002","9","Punjab","Ferozpur","4.43","4.3","8.87","2.36","14.46","25.66","49.1","84.25","156.4","8.57","1.57","14.23"
"172","2003","9","Punjab","Ferozpur","12.17","45.74","21.58","2.56","4.43","35.97","191.05","101.52","80.01","11.31","12.14","11.35"
"172","2004","9","Punjab","Ferozpur","39.68","6.71","0.14","6.79","24.46","31.72","86.8","124.04","28.83","23.61","4.09","11.18"
"172","2005","9","Punjab","Ferozpur","57.44","30.82","31.91","5.1","3.62","21.1","168.3","78.19","137.85","7.03","1.06","0.0"
"172","2006","9","Punjab","Ferozpur","15.28","4.21","30.21","0.75","10.44","41.32","214.68","108.64","228.08","58.31","8.42","25.76"
"172","2007","9","Punjab","Ferozpur","0.84","45.44","47.95","0.64","10.32","56.45","78.19","82.08","126.74","0.02","7.54","3.62"
"172","2008","9","Punjab","Ferozpur","23.01","6.22","0.72","21.06","14.84","59.5","108.52","238.99","72.01","19.36","0.55","12.84"
"172","2009","9","Punjab","Ferozpur","26.2","15.23","22.68","7.31","5.85","9.05","95.05","81.86","52.71","6.75","6.67","1.33"
"172","2010","9","Punjab","Ferozpur","3.77","6.31","7.02","1.08","6.04","10.11","197.69","136.42","154.52","6.69","2.19","14.41"
"172","2011","9","Punjab","Ferozpur","1.24","20.35","7.09","8.38","4.76","50.88","156.96","160.98","250.02","4.65","2.36","8.32"
"172","2012","9","Punjab","Ferozpur","28.65","3.23","3.68","17.81","1.53","4.3","64.15","133.97","293.83","26.1","0.53","21.97"
"172","2013","9","Punjab","Ferozpur","12.7","25.8","20.18","11.93","1.5","66.88","164.4","136.98","42.4","21.3","10.32","4.24"
"172","2014","9","Punjab","Ferozpur","11.08","11.19","33.87","20.02","15.84","25.0","74.26","59.93","347.44","11.12","9.73","0.96"
"172","2015","9","Punjab","Ferozpur","24.59","9.74","75.5","8.8","12.08","34.83","205.09","118.11","151.11","20.67","1.34","1.52"
"174","2000","9","Punjab","Bhatinda","16.48","14.79","4.99","0.62","5.23","25.31","143.89","56.53","35.95","1.25","1.7","0.15"
"174","2001","9","Punjab","Bhatinda","3.55","3.73","7.79","5.25","16.32","43.85","148.66","41.41","45.63","5.21","0.03","4.28"
"174","2002","9","Punjab","Bhatinda","3.89","5.42","6.41","1.52","9.05","17.98","28.39","64.26","124.74","5.76","1.42","15.1"
"174","2003","9","Punjab","Bhatinda","11.01","38.57","12.55","1.14","2.67","29.24","167.18","82.64","69.53","14.3","5.96","9.58"
"174","2004","9","Punjab","Bhatinda","19.89","4.92","0.08","4.79","13.95","24.14","49.87","113.53","19.54","27.48","1.81","7.21"
"174","2005","9","Punjab","Bhatinda","26.77","31.16","23.17","2.4","2.35","16.95","118.91","58.57","119.25","5.04","0.49","0.0"
"174","2006","9","Punjab","Bhatinda","6.9","3.38","23.3","0.42","7.94","33.17","141.79","79.28","162.62","41.81","4.18","17.24"
"174","2007","9","Punjab","Bhatinda","0.54","41.16","40.06","0.93","8.38","43.57","55.41","74.78","107.42","0.13","3.51","2.92"
"174","2008","9","Punjab","Bhatinda","10.51","5.16","0.88","11.71","9.78","45.11","70.86","188.29","60.98","13.28","0.46","11.88"
"174","2009","9","Punjab","Bhatinda","12.19","12.14","15.21","3.12","6.4","7.23","79.76","68.47","53.75","6.61","3.91","1.76"
"174","2010","9","Punjab","Bhatinda","2.6","7.99","4.31","0.6","3.48","9.89","129.77","133.92","148.7","6.67","3.88","11.89"
"174","2011","9","Punjab","Bhatinda","0.74","21.78","5.85","4.1","4.18","37.14","113.37","128.76","204.75","3.5","1.15","4.72"
"174","2012","9","Punjab","Bhatinda","13.54","2.32","2.48","8.77","1.45","3.0","43.69","137.09","231.69","19.91","0.36","18.48"
"174","2013","9","Punjab","Bhatinda","8.77","24.38","13.94","5.81","0.82","49.92","132.08","120.12","36.99","23.46","5.0","3.19"
"174","2014","9","Punjab","Bhatinda","5.78","13.41","23.34","9.83","11.74","20.69","52.63","53.52","232.75","10.71","4.32","1.94"
"174","2015","9","Punjab","Bhatinda","12.82","6.58","58.67","6.11","7.43","27.34","150.88","102.43","100.71","17.86","0.64","0.93"
"175","2000","9","Punjab","Sangrur","26.58","24.42","9.31","0.78","8.55","35.72","209.96","82.45","46.63","1.51","2.19","0.02"
"175","2001","9","Punjab","Sangrur","7.27","6.68","8.49","6.37","24.57","51.62","201.36","61.13","60.92","6.5","0.02","3.41"
"175","2002","9","Punjab","Sangrur","9.45","9.8","7.43","1.39","10.69","24.3","42.87","91.69","181.62","6.48","0.88","12.31"
"175","2003","9","Punjab","Sangrur","20.36","47.8","14.07","1.18","3.59","43.45","271.96","99.45","88.68","22.16","7.49","12.9"
"175","2004","9","Punjab","Sangrur","27.41","6.33","0.09","3.71","19.71","31.68","67.09","130.46","15.86","47.96","1.96","5.71"
"175","2005","9","Punjab","Sangrur","34.01","40.51","27.82","2.17","2.31","23.52","162.67","78.42","168.02","7.26","0.63","0.01"
"175","2006","9","Punjab","Sangrur","11.09","3.89","25.53","0.47","12.62","42.75","238.72","99.94","234.39","50.56","5.01","12.82"
"175","2007","9","Punjab","Sangrur","0.86","50.54","48.85","1.3","15.02","54.24","82.06","103.85","119.09","0.42","3.89","2.35"
"175","2008","9","Punjab","Sangrur","14.42","4.98","0.72","10.96","12.39","56.86","111.49","233.48","98.27","17.21","0.84","7.85"
"175","2009","9","Punjab","Sangrur","16.35","14.9","15.22","2.85","11.85","8.43","105.86","95.4","99.83","10.93","5.91","1.7"
"175","2010","9","Punjab","Sangrur","4.51","14.53","2.9","0.4","4.6","7.75","185.34","167.57","212.77","9.0","6.61","9.93"
"175","2011","9","Punjab","Sangrur","1.86","31.68","6.08","3.88","6.41","49.09","154.21","162.87","262.2","3.76","1.58","4.96"
"175","2012","9","Punjab","Sangrur","21.84","3.13","4.39","7.77","1.49","3.49","70.5","174.9","332.02","21.7","0.62","14.22"
"175","2013","9","Punjab","Sangrur","18.42","36.47","13.9","5.65","1.21","60.87","201.17","145.16","57.16","37.77","5.17","3.94"
"175","2014","9","Punjab","Sangrur","11.02","23.01","29.12","7.99","16.66","24.41","78.62","71.67","305.31","18.33","4.03","3.54"
"175","2015","9","Punjab","Sangrur","21.99","8.72","64.5","6.78","8.13","34.07","209.57","118.39","126.79","16.93","0.89","1.02"
"176","2000","9","Punjab","Patiala","37.24","32.02","14.61","1.07","11.92","56.04","258.05","118.05","53.27","1.45","3.99","0.03"
"176","2001","9","Punjab","Patiala","12.71","8.8","10.89","8.09","30.09","71.39","230.22","84.68","64.51","7.48","0.04","3.6"
"176","2002","9","Punjab","Patiala","15.49","14.28","10.65","2.18","10.34","37.63","51.0","138.76","203.15","7.69","1.03","13.69"
"176","2003","9","Punjab","Patiala","30.54","52.85","18.14","1.79","4.11","63.5","329.27","130.22","91.71","27.58","11.07","17.83"
"176","2004","9","Punjab","Patiala","35.05","6.79","0.09","3.47","22.25","49.1","75.56","162.85","14.05","63.44","2.67","6.8"
"176","2005","9","Punjab","Patiala","41.47","44.84","36.39","2.49","2.3","34.99","187.83","107.05","190.83","9.54","1.01","0.09"
"176","2006","9","Punjab","Patiala","17.54","3.97","32.45","0.59","16.09","59.46","298.08","137.74","250.66","58.64","7.29","13.47"
"176","2007","9","Punjab","Patiala","1.34","53.92","66.46","2.52","20.19","71.6","98.53","143.99","110.19","0.89","5.43","2.44"
"176","2008","9","Punjab","Patiala","19.92","4.42","1.31","12.18","13.74","80.63","137.96","305.12","115.74","20.15","1.37","7.72"
"176","2009","9","Punjab","Patiala","20.26","15.96","18.21","3.16","16.42","11.22","118.77","129.81","129.47","18.18","9.5","2.04"
"176","2010","9","Punjab","Patiala","9.14","18.7","2.52","0.4","5.08","9.22","220.06","222.27","230.94","10.61","10.58","11.41"
"176","2011","9","Punjab","Patiala","3.55","37.46","7.67","4.42","8.31","73.0","180.84","219.87","265.63","3.62","2.44","5.99"
"176","2012","9","Punjab","Patiala","31.01","3.64","7.64","8.71","1.52","4.8","88.59","242.25","353.41","23.06","1.09","15.28"
"176","2013","9","Punjab","Patiala","29.87","45.84","17.31","6.36","1.43","85.72","240.59","193.08","71.61","48.72","7.03","5.29"
"176","2014","9","Punjab","Patiala","17.28","29.23","39.14","8.21","19.16","33.63","100.26","95.13","306.51","26.59","5.25","5.5"
"176","2015","9","Punjab","Patiala","32.77","11.13","83.46","8.44","7.92","50.94","248.15","161.74","127.14","15.58","1.38","1.37"