Year,Dist Name,Rice_Yield,Wheat_Yield
2000,Gurdaspur,2979.06,4258.06
2001,Gurdaspur,2943.3,4658.99
2002,Gurdaspur,2894.18,3805.83
2003,Gurdaspur,3041.45,4347.03
2004,Gurdaspur,3173.27,3568.28
2005,Gurdaspur,3105.26,3982.38
2006,Gurdaspur,3164.18,3973.8
2007,Gurdaspur,3230.37,4225.11
2008,Gurdaspur,3298.51,4012.99
2009,Gurdaspur,3137.25,4086.96
2010,Gurdaspur,3455.88,4066.37
2011,Gurdaspur,3721.54,4752.33
2012,Gurdaspur,3074.63,4415.93
2013,Gurdaspur,2896.04,4376.11
2014,Gurdaspur,2594.06,3240.17
2015,Gurdaspur,2896.55,4542.22
2000,Amritsar,3047.02,4681.44
2001,Amritsar,3003.13,4683.2
2002,Amritsar,2826.37,4250.0
2003,Amritsar,2674.85,4296.09
2004,Amritsar,3095.81,4276.88
2005,Amritsar,2907.25,4428.57
2006,Amritsar,2997.15,4144.02
2007,Amritsar,3108.88,4414.63
2008,Amritsar,3002.84,4324.4
2009,Amritsar,2887.96,4107.82
2010,Amritsar,2801.68,4424.0
2011,Amritsar,2722.69,4925.33
2012,Amritsar,3140.11,4521.51
2013,Amritsar,3097.49,5026.95
2014,Amritsar,2918.99,4023.94
2015,Amritsar,2832.87,4502.67
2000,Kapurthala,3475.73,4441.44
2001,Kapurthala,3466.67,4719.3
2002,Kapurthala,3549.02,3973.21
2003,Kapurthala,3471.15,4428.57
2004,Kapurthala,4028.57,4000.0
2005,Kapurthala,3907.41,4351.35
2006,Kapurthala,3763.64,4073.39
2007,Kapurthala,3890.91,4558.56
2008,Kapurthala,3754.39,4252.25
2009,Kapurthala,3930.43,4117.12
2010,Kapurthala,3889.83,4444.44
2011,Kapurthala,3669.49,4927.27
2012,Kapurthala,3803.42,4636.36
2013,Kapurthala,3854.7,4936.94
2014,Kapurthala,3752.14,3900.0
2015,Kapurthala,4016.95,4263.64
2000,Jalandhar,3548.79,4596.71
2001,Jalandhar,3337.91,4672.34
2002,Jalandhar,3687.18,4172.77
2003,Jalandhar,3415.79,4361.86
2004,Jalandhar,3757.21,4252.48
2005,Jalandhar,3484.49,4435.44
2006,Jalandhar,3577.15,4188.21
2007,Jalandhar,3745.63,4461.79
2008,Jalandhar,3844.95,4090.77
2009,Jalandhar,3984.01,4312.35
2010,Jalandhar,3674.31,4694.5
2011,Jalandhar,3608.45,5084.52
2012,Jalandhar,3849.23,4619.01
2013,Jalandhar,3575.36,4951.39
2014,Jalandhar,3736.23,4016.78
2015,Jalandhar,3954.7,4513.13
2000,Hoshiarpur,3118.41,3609.39
2001,Hoshiarpur,2924.18,3769.63
2002,Hoshiarpur,2994.23,3486.18
2003,Hoshiarpur,3218.79,3539.46
2004,Hoshiarpur,3207.87,3519.7
2005,Hoshiarpur,3104.36,3652.47
2006,Hoshiarpur,3110.86,3727.66
2007,Hoshiarpur,3452.45,3928.36
2008,Hoshiarpur,3638.14,3598.51
2009,Hoshiarpur,3685.54,3916.42
2010,Hoshiarpur,3671.72,4356.99
2011,Hoshiarpur,3711.32,4610.8
2012,Hoshiarpur,3730.24,4317.31
2013,Hoshiarpur,3601.7,4601.92
2014,Hoshiarpur,3562.59,3618.24
2015,Hoshiarpur,3718.35,4187.21
2000,Roopnagar / Ropar,3326.53,3627.91
2001,Roopnagar / Ropar,3196.08,3943.18
2002,Roopnagar / Ropar,3204.55,3546.51
2003,Roopnagar / Ropar,3333.33,3528.74
2004,Roopnagar / Ropar,3450.98,3505.62
2005,Roopnagar / Ropar,3528.85,3650.6
2006,Roopnagar / Ropar,3409.52,3810.98
2007,Roopnagar / Ropar,3652.63,4087.21
2008,Roopnagar / Ropar,3696.97,3570.62
2009,Roopnagar / Ropar,3471.7,4327.87
2010,Roopnagar / Ropar,3725.66,4016.39
2011,Roopnagar / Ropar,3453.7,4683.33
2012,Roopnagar / Ropar,3803.74,4450.0
2013,Roopnagar / Ropar,3475.25,4551.35
2014,Roopnagar / Ropar,3485.15,4010.99
2015,Roopnagar / Ropar,4252.43,4382.02
2000,Ludhiana,3956.5,5164.64
2001,Ludhiana,3902.89,5066.54
2002,Ludhiana,4301.61,4494.28
2003,Ludhiana,4346.42,4726.78
2004,Ludhiana,4618.48,4833.06
2005,Ludhiana,4506.76,4760.2
2006,Ludhiana,4355.33,4486.38
2007,Ludhiana,4533.32,4810.16
2008,Ludhiana,4459.04,4391.54
2009,Ludhiana,4685.62,4647.1
2010,Ludhiana,4401.6,4962.19
2011,Ludhiana,4255.65,5369.23
2012,Ludhiana,4544.65,4866.98
2013,Ludhiana,4407.74,5217.74
2014,Ludhiana,4353.83,4442.77
2015,Ludhiana,4589.11,4670.33
2000,Ferozpur,3607.77,4592.65
2001,Ferozpur,3769.7,4387.76
2002,Ferozpur,3504.35,4117.09
2003,Ferozpur,3801.65,4162.88
2004,Ferozpur,4053.27,4170.03
2005,Ferozpur,4105.12,4109.51
2006,Ferozpur,4074.87,4126.4
2007,Ferozpur,4212.07,4575.05
2008,Ferozpur,4244.45,4752.35
2009,Ferozpur,4026.91,4280.48
2010,Ferozpur,3924.38,4799.09
2011,Ferozpur,3763.58,5113.09
2012,Ferozpur,4145.53,4805.62
2013,Ferozpur,4103.83,5124.87
2014,Ferozpur,3905.46,4535.36
2015,Ferozpur,3985.63,4585.88
2000,Bhatinda,3587.94,4419.84
2001,Bhatinda,3701.18,4072.28
2002,Bhatinda,3321.59,4216.51
2003,Bhatinda,3916.32,4045.73
2004,Bhatinda,4101.93,4176.32
2005,Bhatinda,4117.7,3928.8
2006,Bhatinda,4131.72,4268.59
2007,Bhatinda,4236.2,4407.1
2008,Bhatinda,4352.57,4673.9
2009,Bhatinda,4398.92,4208.16
2010,Bhatinda,4091.28,4772.5
2011,Bhatinda,4016.82,5039.29
2012,Bhatinda,4248.3,4687.86
2013,Bhatinda,4346.45,5023.02
2014,Bhatinda,4133.3,4633.72
2015,Bhatinda,4310.95,4658.28
2000,Sangrur,3766.63,4890.77
2001,Sangrur,3904.35,4823.07
2002,Sangrur,4056.81,4579.14
2003,Sangrur,4280.59,4333.07
2004,Sangrur,4654.04,4495.69
2005,Sangrur,4424.51,4237.49
2006,Sangrur,4513.45,4426.12
2007,Sangrur,4632.98,4719.56
2008,Sangrur,4648.86,4778.41
2009,Sangrur,4714.26,4550.07
2010,Sangrur,4374.6,5081.6
2011,Sangrur,4343.63,5449.9
2012,Sangrur,4679.39,5113.85
2013,Sangrur,4699.34,5415.46
2014,Sangrur,4711.1,4744.51
2015,Sangrur,4798.71,4830.57
2000,Patiala,3512.85,4661.02
2001,Patiala,3693.65,4938.3
2002,Patiala,3544.01,4466.12
2003,Patiala,3969.8,4156.25
2004,Patiala,3964.72,4580.15
2005,Patiala,3998.96,4234.28
2006,Patiala,4085.65,4456.45
2007,Patiala,4295.96,4731.61
2008,Patiala,4204.16,4610.69
2009,Patiala,4268.32,4602.02
2010,Patiala,3818.37,4804.36
2011,Patiala,3930.11,5380.51
2012,Patiala,4054.97,4834.74
2013,Patiala,4109.07,4953.1
2014,Patiala,3987.45,4291.56
2015,Patiala,4053.89,4610.66
